,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
2362,"""Clancey – Mid Terrace"" at Jordanhill Drive, Off Southbrae ...",66785769,5,Detached house for sale
2363,"Croftbank Gate, Bothwell, South Lanarkshire G71",66256250,6,Flat for sale
2364,"Flat 3, 7 Crown Circus, Glasgow G12",66255719,5,Detached house for sale
2365,"""Melville Se"" at Eaglesham Road, East Kilbride, Glasgow G75",65726200,5,Detached house for sale
2366,"Causeyhead Farm, Auldhouse Road, Auldhouse, East Kilbride G75",65302160,4,Detached house for sale
2367,"""The Kennedy - Plot 755"" at Raeside Grove, Newton Mearns, ...",64665569,5,Detached house for sale
2368,"""The Kennedy - Plot 577"" at Raeside Grove, Newton Mearns, ...",63499990,5,Semi-detached house for sale
2369,"Woodvale Avenue, Giffnock, East Renfrewshire G46",63393449,5,Detached house for sale
2370,"""Lewis"" at Eaglesham Road, East Kilbride, Glasgow G75",62545369,7,Town house for sale
2371,"""Baird"" at Jordanhill Drive, Off Southbrae Drive, Jordanhill, ...",62545369,7,Town house for sale
2372,"""Baird – Mid Terrace"" at Jordanhill Drive, Off Southbrae ...",62015850,5,Flat for sale
2373,"Park Terrace, Glasgow G3",61485800,4,Detached house for sale
2374,"Wood Aven Drive, Stewartfield, Stewartfield, East Kilbride G74",61485800,5,Detached bungalow for sale
2375,"Williamwood Drive, Glasgow G44",60955750,3,Detached house for sale
2376,"Mansionhouse Road, Glasgow G32",60955750,3,Flat for sale
2377,"3/2, 60, Penthouse, Southbrae Gardens, Jordanhill G14",60955219,4,Detached house for sale
2378,"""Logan"" at Eaglesham Road, East Kilbride, Glasgow G75",583055000,5,Land for sale
2379,"Netherplace Road, Newton Mearns, Glasgow G77",185517500,5,Terraced house for sale
2380,"Woodside Crescent, Glasgow G3",179686950,5,Detached house for sale
2381,"Blantyre Road, Bothwell, Glasgow G71",169616000,4,Terraced house for sale
2382,"Woodside Place, Glasgow, Glasgow City G3",153714500,4,Detached house for sale
2383,"Fife Crescent, Bothwell, Glasgow G71",148414000,4,Property for sale
2384,"Shields Road, Pollokshields, Glasgow G41",127212000,5,Detached house for sale
2385,"Fairfield Place, Bothwell, Glasgow G71",121911500,5,Detached house for sale
2386,"Kittochside Road, Carmunnock, Clarkston G76",106010000,5,Detached house for sale
2387,"Fairyknowe Cottage, 26 Fairyknowe Gardens, Bothwell, Glasgow G71",106009469,3,Detached house for sale
2388,"Exclusive Listing, The Gatehouse, Jordanhill Park, Jordanhill G13",106009469,4,Detached house for sale
2389,"""Gatehouse"" at Jordanhill Drive, Off Southbrae Drive, ...",99119350,5,Flat for sale
2390,"Waverley Gardens, Shawlands, Glasgow G41",99119350,5,Flat for sale
2391,"Albion Street, Glasgow G1",91592109,5,Detached house for sale
2392,"""The Lawers Ranald"" at Evie Wynd, Newton Mearns, Glasgow G77",90108500,5,Flat for sale
2393,"Plot 2 - Claremont Apartments, North Claremont Street, Glasgow G3",89683929,5,Detached house for sale
2394,"""The Lawers Ramsay"" at Evie Wynd, Newton Mearns, Glasgow G77",87458250,4,Flat for sale
2395,"Park Gardens, Park District, Glasgow G3",87458250,5,Detached house for sale
2396,"Manse Road, Bearsden, Glasgow G61",84808000,4,Detached house for sale
2397,"Polnoon Street, Eaglesham, Glasgow G76",84277950,4,Detached house for sale
2398,"Dalserf Crescent, Giffnock, East Renfrewshire G46",82051209,4,Detached house for sale
2399,"""Moncrief"" at Evie Wynd, Newton Mearns, Glasgow G77",81627169,4,Detached house for sale
2400,"""The Lawers Melville"" at Evie Wynd, Newton Mearns, Glasgow G77",79401490,5,Detached house for sale
2401,"""The Buchanan - Plot 714"" at Raeside Grove, Newton Mearns, ...",79083460,4,Detached house for sale
2402,"""The Buchanan - Plot 754"" at Raeside Grove, Newton Mearns, ...",77917350,4,Detached house for sale
2403,"Kylepark Drive, Uddingston, Glasgow G71",76856719,3,Detached house for sale
2404,"""The Lawers Lewis"" at Evie Wynd, Newton Mearns, Glasgow G77",75267100,5,Detached house for sale
2405,"Cobden Crescent, Bearsden, East Dunbartonshire G61",74100990,6,Detached house for sale
2406,"""The Forbes - Plot 806"" at Raeside Grove, Newton Mearns, ...",71026169,5,Flat for sale
2407,"""David Stow 326"" at Jordanhill Drive, Off Southbrae Drive, ...",70390640,5,Detached house for sale
2408,"""The Gordon - Plot 808"" at Raeside Grove, Newton Mearns, ...",68906500,5,Flat for sale
2409,"Winton Drive, Kelvinside, Glasgow G12",68587939,5,Detached house for sale
2410,"""The Lawers Evan"" at Evie Wynd, Newton Mearns, Glasgow G77",68375919,5,Town house for sale
2411,"""Elder – Mid Terrace"" at Jordanhill Drive, Off Southbrae ...",67315819,4,Town house for sale
2412,"""Clancey – Mid Terrace"" at Jordanhill Drive, Off Southbrae ...",66785769,5,Detached house for sale
2413,"Croftbank Gate, Bothwell, South Lanarkshire G71",66256250,3,Flat for sale
2414,"Flat 3, 7 Crown Circus, Glasgow G12",66255719,5,Detached house for sale
2415,"""Melville Se"" at Eaglesham Road, East Kilbride, Glasgow G75",65726200,5,Detached house for sale
2416,"Causeyhead Farm, Auldhouse Road, Auldhouse, East Kilbride G75",65302160,5,Detached house for sale
2417,"""The Kennedy - Plot 755"" at Raeside Grove, Newton Mearns, ...",64665569,3,Detached house for sale
2418,"""The Kennedy - Plot 577"" at Raeside Grove, Newton Mearns, ...",63499990,4,Semi-detached house for sale
2419,"Woodvale Avenue, Giffnock, East Renfrewshire G46",63393449,5,Detached house for sale
2420,"""Lewis"" at Eaglesham Road, East Kilbride, Glasgow G75",62545369,5,Town house for sale
2421,"""Baird"" at Jordanhill Drive, Off Southbrae Drive, Jordanhill, ...",62545369,4,Town house for sale
2422,"""Baird – Mid Terrace"" at Jordanhill Drive, Off Southbrae ...",62015850,3,Flat for sale
2423,"Park Terrace, Glasgow G3",61485800,3,Detached house for sale
2424,"Wood Aven Drive, Stewartfield, Stewartfield, East Kilbride G74",61485800,5,Detached bungalow for sale
2425,"Williamwood Drive, Glasgow G44",60955750,3,Detached house for sale
2426,"Mansionhouse Road, Glasgow G32",60955750,5,Flat for sale
2427,"3/2, 60, Penthouse, Southbrae Gardens, Jordanhill G14",60955219,5,Detached house for sale
2428,"""Logan"" at Eaglesham Road, East Kilbride, Glasgow G75",59895119,5,Detached house for sale
2429,"""Kennedy"" at Eaglesham Road, East Kilbride, Glasgow G75",58305500,5,Property for sale
2430,"Balmore Road, Glasgow G23",58305500,4,Town house for sale
2431,"Circus Drive, Dennistoun, Glasgow G31",57775450,5,Detached house for sale
2432,"Wood Aven Drive, Stewartfield, East Kilbride G74",57245400,4,Flat for sale
2433,"Flat 5/3, 5 South Frederick Street, Glasgow, Glasgow City G1",55655250,5,Town house for sale
2434,"Training Place, Glasgow G13",55655250,5,Semi-detached house for sale
2435,"Kelvindale Road, Kelvindale, Glasgow G12",55655250,4,Detached house for sale
2436,"Newlands Cottage Grove, East Kilbride, Glasgow G75",55655250,4,Flat for sale
2437,"Drymen Road, Glasgow G61",55125200,4,End terrace house for sale
2438,"Plot 5 - Circle Green, Newlands, Glasgow G43",55125200,4,Detached house for sale
2439,"""The Uphall"" at Daffodil Drive, Glasgow G33",54595150,5,Detached house for sale
2440,"Mackenzie Gardens, Stewartfield, East Kilbride G74",54595150,5,Terraced house for sale
2441,"Plot 4 - Circle Green, Newlands, Glasgow G43",54594619,4,Town house for sale
2442,"Jordanhill Park, Glasgow G13",54064569,4,Mews house for sale
2443,"""Austin - End Terrace"" at Jordanhill Drive, Off Southbrae ...",53005000,4,Land for sale
2444,"Land At Church Street, Uddingston, Glasgow G71",53005000,2,Detached house for sale
2445,"3, Kilmardinny Crescent, Bearsden G61",53004469,3,Mews house for sale
2446,"""Austin - Mid Terrace"" at Jordanhill Drive, Off Southbrae ...",52474950,4,Farmhouse for sale
2447,"Balmore Road, Glasgow G23",52474950,5,Property for sale
2448,"Cortmalaw Gardens, Robroyston G33",52156389,3,Detached house for sale
2449,"""The Sunningdale"" at Lavender Street, Glasgow G33",51944369,3,Detached house for sale
2450,"""The Sunningdale"" at Lavender Street, Glasgow G33",51838359,4,Detached house for sale
2451,"""Crichton"" at Eaglesham Road, East Kilbride, Glasgow G75",51520329,4,Detached house for sale
2452,"""Crichton"" at Eaglesham Road, East Kilbride, Glasgow G75",50354750,4,Flat for sale
2453,"2/1, 92, Hyndland Road, Hyndland G12",49506139,4,Detached house for sale
2454,"""The Sunningdale"" at East Kilbride, Glasgow G75",49400129,4,Detached house for sale
2455,"""The Sunningdale"" at East Kilbride, Glasgow G75",49400129,4,Detached house for sale
2456,"""Ballater"" at Kavanagh Crescent, East Kilbride, Glasgow G75",49400129,4,Detached house for sale
2457,"""Ballater"" at Kavanagh Crescent, East Kilbride, Glasgow G75",49294650,4,Bungalow for sale
2458,"Old Coach Road, Village, East Kilbride G74",49294650,5,Semi-detached house for sale
2459,"Douglas Avenue, Rutherglen, Glasgow G73",49294650,5,Detached house for sale
2460,"Inchmurrin Gardens, High Burnside, Glasgow G73",49294119,4,Detached house for sale
2461,"""The Sunningdale"" at East Kilbride, Glasgow G75",49082099,5,Detached house for sale
2462,"""Ballater"" at Kavanagh Crescent, East Kilbride, Glasgow G75",49082099,3,Detached house for sale
2463,"""Ballater"" at Kavanagh Crescent, East Kilbride, Glasgow G75",48764600,5,Semi-detached house for sale
2464,"21, Larch Road, Dumbreck G41",48764069,5,Flat for sale
2465,"Plot 4 - Claremont Apartments, North Claremont Street, Glasgow G3",48234019,5,Flat for sale
2466,"""Farrel"" at Jordanhill Drive, Off Southbrae Drive, ...",48234019,3,Detached house for sale
2467,"""Cleland"" at Eaglesham Road, East Kilbride, Glasgow G75",47704500,4,Detached house for sale
2468,"Glassford Street, Milngavie, Glasgow, East Dunbartonshire G62",47704500,5,Flat for sale
2469,"Flat G, 29 Hughenden Lane, Hughenden, Glasgow G12",47704500,5,Terraced house for sale
2470,"Hayburn Lane, Hyndland, Glasgow G12",47704500,4,Semi-detached house for sale
2471,"Plot 2 - The Fieldings, East Kilbride, Glasgow, South ...",47703969,3,Detached house for sale
2472,"""The Burgess"" at East Kilbride, Glasgow G75",47703969,3,Detached house for sale
2473,"""Craighall"" at Kavanagh Crescent, East Kilbride, Glasgow G75",47703969,5,Detached house for sale
2474,"""Ballater"" at Auchinleck Road, Glasgow G33",47597959,3,Detached house for sale
2475,"""The Burgess"" at East Kilbride, Glasgow G75",47491949,5,Detached house for sale
2476,"""The Burgess"" at East Kilbride, Glasgow G75",47385939,5,Detached house for sale
2477,"""The Burgess"" at East Kilbride, Glasgow G75",46961899,5,Detached house for sale
2478,"""The Burgess"" at East Kilbride, Glasgow G75",59895119,5,Detached house for sale
2479,"""Kennedy"" at Eaglesham Road, East Kilbride, Glasgow G75",58305500,4,Property for sale
2480,"Balmore Road, Glasgow G23",58305500,5,Town house for sale
2481,"Circus Drive, Dennistoun, Glasgow G31",57775450,4,Detached house for sale
2482,"Wood Aven Drive, Stewartfield, East Kilbride G74",57245400,5,Flat for sale
2483,"Flat 5/3, 5 South Frederick Street, Glasgow, Glasgow City G1",55655250,5,Town house for sale
2484,"Training Place, Glasgow G13",55655250,4,Semi-detached house for sale
2485,"Kelvindale Road, Kelvindale, Glasgow G12",55655250,4,Detached house for sale
2486,"Newlands Cottage Grove, East Kilbride, Glasgow G75",55655250,4,Flat for sale
2487,"Drymen Road, Glasgow G61",55125200,4,End terrace house for sale
2488,"Plot 5 - Circle Green, Newlands, Glasgow G43",55125200,5,Detached house for sale
2489,"""The Uphall"" at Daffodil Drive, Glasgow G33",54595150,5,Detached house for sale
2490,"Mackenzie Gardens, Stewartfield, East Kilbride G74",54595150,4,Terraced house for sale
2491,"Plot 4 - Circle Green, Newlands, Glasgow G43",54594619,4,Town house for sale
2492,"Jordanhill Park, Glasgow G13",54064569,4,Mews house for sale
2493,"""Austin - End Terrace"" at Jordanhill Drive, Off Southbrae ...",53005000,2,Land for sale
2494,"Land At Church Street, Uddingston, Glasgow G71",53005000,3,Detached house for sale
2495,"3, Kilmardinny Crescent, Bearsden G61",53004469,4,Mews house for sale
2496,"""Austin - Mid Terrace"" at Jordanhill Drive, Off Southbrae ...",52474950,5,Farmhouse for sale
2497,"Balmore Road, Glasgow G23",52474950,3,Property for sale
2498,"Cortmalaw Gardens, Robroyston G33",52156389,3,Detached house for sale
2499,"""The Sunningdale"" at Lavender Street, Glasgow G33",51944369,4,Detached house for sale
2500,"""The Sunningdale"" at Lavender Street, Glasgow G33",51838359,4,Detached house for sale
2501,"""Crichton"" at Eaglesham Road, East Kilbride, Glasgow G75",51520329,4,Detached house for sale
2502,"""Crichton"" at Eaglesham Road, East Kilbride, Glasgow G75",50354750,4,Flat for sale
2503,"2/1, 92, Hyndland Road, Hyndland G12",49506139,4,Detached house for sale
2504,"""The Sunningdale"" at East Kilbride, Glasgow G75",49400129,4,Detached house for sale
2505,"""The Sunningdale"" at East Kilbride, Glasgow G75",49400129,4,Detached house for sale
2506,"""Ballater"" at Kavanagh Crescent, East Kilbride, Glasgow G75",49400129,4,Detached house for sale
2507,"""Ballater"" at Kavanagh Crescent, East Kilbride, Glasgow G75",49294650,4,Bungalow for sale
2508,"Old Coach Road, Village, East Kilbride G74",49294650,5,Semi-detached house for sale
2509,"Douglas Avenue, Rutherglen, Glasgow G73",49294650,5,Detached house for sale
2510,"Inchmurrin Gardens, High Burnside, Glasgow G73",49294119,4,Detached house for sale
2511,"""The Sunningdale"" at East Kilbride, Glasgow G75",49082099,4,Detached house for sale
2512,"""Ballater"" at Kavanagh Crescent, East Kilbride, Glasgow G75",49082099,4,Detached house for sale
2513,"""Ballater"" at Kavanagh Crescent, East Kilbride, Glasgow G75",48764600,4,Semi-detached house for sale
2514,"21, Larch Road, Dumbreck G41",48764069,4,Flat for sale
2515,"Plot 4 - Claremont Apartments, North Claremont Street, Glasgow G3",48234019,4,Flat for sale
2516,"""Farrel"" at Jordanhill Drive, Off Southbrae Drive, ...",48234019,5,Detached house for sale
2517,"""Cleland"" at Eaglesham Road, East Kilbride, Glasgow G75",47704500,3,Detached house for sale
2518,"Glassford Street, Milngavie, Glasgow, East Dunbartonshire G62",47704500,4,Flat for sale
2519,"Flat G, 29 Hughenden Lane, Hughenden, Glasgow G12",47704500,4,Terraced house for sale
2520,"Hayburn Lane, Hyndland, Glasgow G12",47704500,4,Semi-detached house for sale
2521,"Plot 2 - The Fieldings, East Kilbride, Glasgow, South ...",47703969,4,Detached house for sale
2522,"""The Burgess"" at East Kilbride, Glasgow G75",47703969,4,Detached house for sale
2523,"""Craighall"" at Kavanagh Crescent, East Kilbride, Glasgow G75",47703969,7,Detached house for sale
2524,"""Ballater"" at Auchinleck Road, Glasgow G33",47597959,5,Detached house for sale
2525,"""The Burgess"" at East Kilbride, Glasgow G75",47491949,4,Detached house for sale
2526,"""The Burgess"" at East Kilbride, Glasgow G75",47385939,2,Detached house for sale
2527,"""The Burgess"" at East Kilbride, Glasgow G75",46961899,4,Detached house for sale
2528,"""The Burgess"" at East Kilbride, Glasgow G75",46644400,4,Semi-detached house for sale
2529,"West Coats Road, Cambuslang, Glasgow, South Lanarkshire G72",46644400,4,Detached house for sale
2530,"""The Stirling"" at Daffodil Drive, Glasgow G33",46644400,4,Detached house for sale
2531,"""The Stirling"" at Daffodil Drive, Glasgow G33",46644400,4,Detached house for sale
2532,"""The Stewart - Plot 79"" at Auchinleck Road, Glasgow G33",46538390,3,Semi-detached house for sale
2533,"Plot 18 - The Fieldings, East Kilbride, Glasgow, South ...",46114350,5,Detached house for sale
2534,"""The Stewart - Plot 12"" at Auchinleck Road, Glasgow G33",46114350,5,Detached house for sale
2535,"Wallace Gate, Bishopbriggs, Glasgow G64",45795789,4,Detached house for sale
2536,"""The Lomond"" at Lavender Street, Glasgow G33",45689779,4,Detached house for sale
2537,"""The Lomond"" at Lavender Street, Glasgow G33",45478290,4,Detached house for sale
2538,"London Road, Mount Vernon, Glasgow G32",45266270,3,Flat for sale
2539,"Plot C4/2 - Quarter West, Burgh Hall Street, Glasgow G11",45054250,4,Detached house for sale
2540,"Fairlie, Stewartfield, East Kilbride G74",45054250,4,Detached house for sale
2541,"Croftbank Crescent, Uddingston, Glasgow G71",45054250,4,Detached house for sale
2542,"Loancroft Gate, Uddingston G71",45053719,4,Detached house for sale
2543,"""The Burgess"" at East Kilbride, Glasgow G75",44524200,4,Flat for sale
2544,"Crown Terrace, Dowanhill, Glasgow G12",44524200,4,Detached house for sale
2545,"Hawthorn Way, Cambuslang, Glasgow G72",44418190,5,Detached house for sale
